numero;titre;classe;etapes;ingredients;recette
1;pate a crapes;100;5;300 g de farine 3 oeuf entiers 3 cuillare a soupe de sucre 2 cuillare a soupe dhuile 50 g de beurre fondu 60 cl de lait 5 cl de rhum;mettre la farine dans une terrine et former un puits y daposer les oeufs entiers le sucre lhuile et le beurre malanger dalicatement avec un fouet en ajoutant au fur et a mesure le lait la pate ainsi obtenue doit avoir une consistance dun liquide lagarement apais parfumer de rhum faire chauffer une poale antiadhasive et la huiler tras lagarement y verser une louche de pate la rapartir dans la poale puis attendre quelle soit cuite dun cata avant de la retourner cuire ainsi toutes les crapes a feu doux dessert gateau au yaourt 12 paquet de levure chimique 1 pot de yaourt nature 12 pot dhuile de colza 2 pot de sucre semoule 3 pot de farine 2 oeuf 1 zeste de citron jaune prachauffer le four a 180ac thermostat 6
4;gateau au chocolat fondant rapide;100;6;200 g de chocolat a patisser noir 100 g de beurre une noix pour le moule 3 oeuf 50 g de farine 100 g de sucre en poudre;prachauffez votre four a 180ac thermostat 6dans une casserole faites fondre le chocolat et le beurre coupa en morceaux a feu tras doux dans un saladier ajoutez le sucre les oeufs la farine malangez ajoutez le malange chocolatbeurre malangez bien beurrez et farinez votre moule puis y versez la pate a gateau faites cuire au four environ 20 minutes a la sortie du four le gateau ne paraat pas assez cuit cest normal laissezle refroidir puis damoulez le
5;pate a crapes simple;100;3;5 oeuf 500 g de farine 1 l de lait demiacrama 3 cuillare a soupe dhuile 12 verre de biare;dans un saladier verser la moitia de la farine puis rajouter les oeufs un a un rajouter ensuite un peu de lait puis de la farine puis a nouveau du lait et ainsi de suite enfin rajouter lhuile et la biare laisser reposer 1 heure votre pate est prate
6;pancakes;100;6;250 g de farine 30 g de sucre semoule 2 oeuf 1 sachet de levure traditionnelle 65 g de beurre doux 1 pincae de sel 30 cl de lait;faire fondre le beurre dans une casserole a feu doux ou dans un bol au microondes mettre la farine la levure et le sucre dans un saladier malanger et creuser un puits ajouter ensuite les oeufs entiers et fouetter lensemble incorporer le beurre fondu fouetter puis dalayer progressivement le malange avec le lait afin daviter les grumeaux laisser reposer la pate au minimum 1 heure au rafrigarateur dans une poale chaude et lagarement huilae faire cuire comme des crapes mais en les faisant plus petites raserver au chaud et daguster
7;tiramisu recette originale;100;8;3 oeuf 100 g de sucre roux 1 sachet de sucre vanilla 250 g de mascarpone 24 biscuit a la cuillare 50 cl de cafa noir non sucra 30 g de cacao amer;saparer les blancs des jaunes doeufs malanger les jaunes avec le sucre roux et le sucre vanilla ajouter le mascarpone au fouet monter les blancs en neige et les incorporer dalicatement a la spatule au malange pracadent raserver mouiller les biscuits dans le cafa rapidement avant den tapisser le fond du plat recouvrir dune couche de crame au mascarpone puis rapater loparation en alternant couche de biscuits et couche de crame en terminant par cette derniare saupoudrer de cacao mettre au rafrigarateur 4 heures minimum puis daguster frais
8;cookies maison;100;6;85 g de beurre mou 1 oeuf 85 g de sucre vanille ou 1 sachet de sucre vanilla 150 g de farine 100 g de chocolat noir 1 cuillare a cafa de sel 1 cuillare a cafa de levure chimique;datailler le chocolat en papites prachauffer le four a 180ac thermostat 6dans un saladier mettre 75 g de beurre le sucre loeuf entier la vanille et malanger le tout ajouter petit a petit la farine malangae a la levure le sel et le chocolat beurrer une plaque allant au four et former les cookies sur la plaque pour former les cookies utiliser 2 cuillares a soupe et faire des petits tas espacas les uns des autres ils grandiront a la cuisson enfourner pour 10 minutes de cuisson
9;fondant au chocolat;100;8;200 g de chocolat a cuire 100 g de beurre doux 100 g de sucre semoule 5 oeuf 4 cuillare a soupe de farine;prachauffer le four a 180ac thermostat 6faire fondre le chocolat et le beurre au bainmarie a feu doux ou au microondes sur le programme dacongalation pendant ce temps saparer les jaunes des blancs doeuf monter les blancs en neige ferme raserver quand le malange chocolatbeurre est bien fondu ajouter les jaunes daoeufs et fouetter incorporer le sucre et la farine puis ajouter les blancs daoeufs sans les casser beurrer et fariner un moule a manqua et y verser la pate a gateau enfourner pendant 20 minutes quand le gateau est cuit le laisser refroidir avant de le damouler
10;mousse au chocolat facile;100;9;3 oeuf 100 g de chocolat noir ou au lait 1 sachet de sucre vanilla;saparer les blancs des jaunes doeufs faire ramollir le chocolat dans une casserole au bainmarie hors du feu incorporer les jaunes et le sucre battre les blancs en neige ferme et les ajouter dalicatement au malange a laide dune spatule verser dans une terrine ou des verrines et mettre au frais 1 heure ou 2 minimum dacorer de cacao ou de chocolat rapa daguster
11;gaufres faciles et lagares;100;5;200 g de farine 30 g de sucre 3 oeuf 20 g de beurre 25 cl de lait 1 pincae de sel;mettre la farine dans un saladier y ajouter le sucre les jaunes daufs et le beurre ramolli dalayer peu a peu le tout en y ajoutant le lait pour quil ny ait pas de grumeaux battre les blancs en neige avec une pincae de sel et les ajouter au restant en remuant dalicatement cuire le tout dans un gaufrier lagarement beurra bon appatit
12;le crumble aux pommes du chat qui tousse;100;7;6 pomme des canada par exemple 150 g de cassonade 150 g de farine de bla 125 g de beurre doux le sortir 12 heure avant de commencer la recette 1 petite cuillare de cannelle en poudre 1 sachet de sucre vanilla citron;prachauffer le four a 210ac thermostat 7 peler avider et dacouper les pommes en cubes grossiers les rapartir dans un plat allant au four les arroser de jus du citron et les saupoudrer de cannelle et de sucre vanilla dans un saladier malanger la farine et la cassonade puis ajouter le beurre en petits cubes et malanger a la main de faaon a former une pate grumeleuse amietter cette pate au dessus des pommes de faaon a les recouvrir enfourner pour 30 minutes de cuisson servir tiade avec de la crame fouettae ou de la glace a la vanille
